cargo,quantidade
Analista de Dados/Data Analyst,957
Cientista de Dados/Data Scientist,687
Engenheiro de Dados/Data Engineer/Data Architect,613
Analista de BI/BI Analyst,396
Outra Opção,254
Analytics Engineer,228
Analista de Negócios/Business Analyst,184
Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,122
Engenheiro de Machine Learning/ML Engineer/AI Engineer,103
Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO),80
Analista de Suporte/Analista Técnico,79
Arquiteto de Dados/Data Architect,48
Outras Engenharias (não inclui dev),29
Professor/Pesquisador,21
Estatístico,17
